good_id,good,first_course,main_course,drink,bakery,dessert,snacks,salad,meat&fish
62.0,Борщ из кваш.кап/постный 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
63.0,Картофель Черри в мундире 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
64.0,Рыба запеч/травы/пергамент 80гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
65.0,Компот из св.груш 200гр,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0
66.0,Суп Минестроне/овощной 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
67.0,Рыба жар/лимонной корочке/с.сальса 130гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
68.0,Картофель запеченый 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
69.0,Щи зеленые/постные 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
70.0,Харчо из говядины 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
71.0,Суп по-азиатски/куриный 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
72.0,Сердечки куриные/томат/кинза 75/50гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
73.0,Оладьи из печени/грибы/сметана 100/20,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0
74.0,Рис с овощами 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
75.0,Рассольник Ленинградский/кур 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
76.0,Картофель жареный 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
77.0,Зразы рыбные/сыр 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
78.0,С-т из огур/помидор/масло 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
79.0,Капуста туш/пряности 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
80.0,Печень жареная/с.Терияки 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
81.0,С-т из огур/перец/масло 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
82.0,Картофель паприкаш 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
83.0,С-т Цезарь/курица 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
84.0,Напиток из шиповника 200гр,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0
85.0,Пирожок Сосиска в тесте,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
86.0,Картофель по-деревенски 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
87.0,Свиная отбивная 80/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
88.0,Пирог Осетинский/мясо 1кусок,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0
89.0,Котлета куриная б/п 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
90.0,Щи из кваш.кап/картофель 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
91.0,Суп Лигурийский побережный/рыб 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
92.0,Лопатка свиная/горчица 80гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
93.0,Котлета Домашняя 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
94.0,Колбаски Мюнхенские/с.медово-горч 110/20,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
95.0,Суп-гуляш с говядиной 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
96.0,Холодец из индейки 120гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
97.0,Кур.ножка Тандури 125гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
98.0,Рыба заливная с яйцом 120гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
99.0,Макароны с паприкой 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
100.0,Рыба жар/с.медово-горчичный 90/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
101.0,С-т Мясной/майонез 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
102.0,Говядина с ананас/с.кисло-слад 75/75гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
103.0,Пирожок с капустой/яйцо,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
104.0,Сельдь под шубой 120гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
105.0,Детокс вода огур/лимон/баз 200 гр,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0
106.0,Лазанья из птицы 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0
107.0,Крокеты из индейки/черносл/с.чили 120/20,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
108.0,Люля-кебаб 100/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
109.0,Медальоны свиные Терияки 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
110.0,С-т с острым цыпленком/ананас/рос 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
111.0,Пирожок с курицей,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
112.0,Овощи с/м отварные 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
113.0,С-т Карри/кур/майонез 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
114.0,Свекольник с мясом/горячий 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
115.0,Колбаски Охотничьи на гриле 115/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
116.0,Бульон из кур прозрачный/яйцо 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
117.0,С-т из буженины/с.зеленый 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
