good_id,good
163,Рулетики рыбные/овощи 100/40гр
164,Пирожок Слойка/курица
165,С-т коктейль/кальмары/майонез 120гр
166,Овощи по-карпатски 150гр
167,Пирожок с картоф/грибы
168,Шницель свиной рубленый 100гр
169,Баклажаны с овощами 200гр
170,Суп-пюре сырный/по-гетеборгски/бр 250гр
171,Террин из овощей/микс грибов 120гр
172,Бифштекс рубл.с яйцом 100/40гр
173,Щи Боярские/мясо 250гр
174,С-т из запеченых овощей/Тофу 120гр
175,С-т из помидор/огурец/базилик 120гр
176,Сотэ из баклажан 200гр
177,Террин из свеклы 120гр
178,Тыква с медом 150гр
179,Рыба жар/под маринадом 80/40гр
180,Рататуй с яблоками 200гр
181,Индейка/грибы/сыр 80/20гр
182,Морковь/груша/сметана 120гр
183,Пирожок с рисом/яйцо
184,Тосты с грибной икрой 120гр
185,Говядина туш/черная фасоль 75/75гр
186,Суп вегетарианский 250гр
187,Суп-пюре из цв.кап 250гр
188,Говядина с соусом Ингвар 80/30гр
189,С-т из жар.груши/айсберг/фета 120гр
190,Свинина/с.кисло-сладкий 75/75гр
191,Суп-пюре сырный 250гр
192,Индейка/с.кокосовый 80/40гр
193,С-т Киноа/морковь/перец 120гр
194,Пудинг из шпината с сыром 200гр
195,Лазанья овощная 200гр
196,Рулетики из индейки/шпинат 120гр
197,Пирожок с зел.лук/яйцо
198,Говядина Мексика 75/75гр
199,Котлета из индейки на пару 100/10гр
200,С-т из картоф.черри/овощи/з.из брынз120
201,Кур.филе/с.кисло-сладкий 75/75гр
202,Рыба жар/з.имбирная 80/20гр
203,Помидоры запеч/укроп 200гр
204,Котлета куриная/зеленое масло 120гр
205,С-т из б/к марин/перец/аром.масло 120гр
206,Тар-тар из кальмаров 120гр
207,С-т из огур/помидор/айсберк/з.дом 120гр
208,Рыба жар/с.тар-тар 80/20гр
209,Пирожок Слойка/сыром
210,С-т Ницца/тунец 120гр
211,Куриная Бабка 120гр
212,С-т из горбуши/карт/яйцо/майонез 120гр
213,С-т из дайкон/квашен.кап/морк/масло 120г
214,Морковь/сыр/майонез 120гр
215,Суп фасолевый/помидор 250гр
216,Напиток яблочно-клюквенный 200гр
217,С-т Слоеный/рыбный 120гр
218,Кур.филе/тыквенный конфитюр 140/20гр
219,С-т Греческий/заправка 120гр
220,С-т в китайском стиле/курица 120гр
221,Рыба отв/с.из петрушки 80/20гр
222,Сосиска Венская 1шт/Мик
223,С-т из огур/редис/масла 120гр
224,С-т Чука/с.ореховый 120гр
225,Свинина/с.тар-тар 80/20гр
226,С-т Чука/горбуша 120гр
227,Пирог Осетинский/сыр 1кусок
228,Хашбрауны 2шт/100гр
229,Свекла запеч/брусника 120гр
230,Баклажаны/кабачки/с.йогурт/мята 120гр
231,С-т из к/к с огурцами 120гр
232,С-т Панцанелла/овощной 120гр
233,Рис с шафраном 150гр
234,С-т из помидор/авокадо/ветч/запр 120гр
235,С-т из кур/салат/перец/с.горчичный 120гр
236,Биточки куриные паровые 100гр
237,С-т картофельный/сельдь/с.апельс 120гр
238,Пирожок с грибами
239,С-т из редиса/яйцо/майонез 120гр
240,Холодец по-домашнему 120гр
241,С-т Тайский/рис.бумага/терияки 120гр
242,Суп-пюре из лука порей 250гр
243,С-т Шармэль/морковь/апельсин/йог 120гр
244,С-т из индейки/жульен овощной 120гр
245,Аджан андали/пост 200гр
246,Кукурузное рагу 150гр
247,Пирожок Слойка/капуста
248,Щи по-купечески/овощи 250гр
249,С-т из помидор/ог/маслин/брынзы/ма 120гр
250,Кабачки гриль/с.йогуртовый 150/20гр
251,Кур.филе фарш.зеленью 120гр
252,Фасоль стручк/миндаль 150гр
253,С-т романо/базилик/мандарин/заправ 120гр
254,С-т из баклажан/тунца 120гр
255,С-т Баварский/красн.капуста 120гр
256,С-т айсберг/хурма/перепелиное яйцо 120гр
257,Говядина по-сельски 80гр
258,Пирог Осетинский/капустой 1кусок
259,Булгур/томаты/кабачки 120гр
260,Индейка/вяленые томаты 80гр
261,Пирожок Слойка/картоф/грибы
262,Капуста туш/помидор 150гр
263,Кур.окорочка отварные 125гр
264,Ланч бокс большой 1шт
265,С-т из помидор/кр.лук/кинза 120гр
266,С-т из тыквы/изюм 120гр
267,С-т из помидор/редис/масло 120гр
268,С-т из дайкон/мяса 120гр
269,С-т айсберг/моцарелла/заправка 120гр
270,Индейка филе копченая 100гр
271,Пирог Осетинский/картоф/грибы 1кусок
272,С-т из белых бобов/перец/с.зеленый 120гр
273,Буженина копченая 100гр
274,Фасоль черная/фета 120гр
275,С-т микс/авокадо/нут/томаты 120гр
276,Икра из тыквы 120гр
277,Пхали из свеклы 120гр
278,С-т из кваш.капусты/мед/клюквы 120гр
279,Соль 1кг
280,С-т из тунца/з.пряная 120гр
281,Тефтели Ежики 100/40гр
282,Винегрет с солеными грибами 120гр
283,Борщ из кваш.кап/мясо 250гр
284,С-т Вегетарианский/масло 120гр
285,Напиток из яблок/ягод с/м/б.сах 200гр
286,Компот из сухофруктов/без сахара 200гр
287,Свекла/орехи/майонез 120гр
288,Напиток из ягод с/м/без сахара 200гр
